"","landsdel","storkreds","navn","pop","url","unit","fv11_allvotes","fv11_sd","fv11_rv","fv11_kf","fv11_sf","fv11_la","fv11_kd","fv11_df","fv11_ve","fv11_el","fv11_redvotes","fv11_redshare","fv15_redshare"
"1","Hovedstaden","Københavns Storkreds","1. Østerbro",53647,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst20.htm","1. oesterbro",45672,8153,8882,2876,5206,3235,130,2764,7645,6744,28985,0.634633911368015,NA
"2","Hovedstaden","Københavns Storkreds","2. Sundbyvester",44483,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst21.htm","2. sundbyvester",34627,6740,5708,1578,4291,2276,77,3098,5280,5540,22279,0.64339965922546,NA
"3","Hovedstaden","Københavns Storkreds","3. Indre By",40675,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst22.htm","3. indre by",32975,4541,6937,2193,3824,2719,56,1397,5174,6100,21402,0.649037149355572,NA
"4","Hovedstaden","Københavns Storkreds","4. Sundbyøster",39754,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst23.htm","4. sundbyoester",31298,6341,4795,1153,4130,1704,90,3047,4900,5088,20354,0.650329094510831,NA
"5","Hovedstaden","Københavns Storkreds","5. Nørrebro",55408,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst24.htm","5. noerrebro",44831,7249,8952,1404,6821,2003,103,2112,3748,12382,35404,0.78972139813968,NA
"6","Hovedstaden","Københavns Storkreds","6. Bispebjerg",36093,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst25.htm","6. bispebjerg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Hovedstaden","Københavns Storkreds","7. Brønshøj",54693,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst26.htm","7. broenshoej",45425,10305,6125,2119,6112,2051,176,5060,6647,6790,29332,0.645723720418272,NA
"8","Hovedstaden","Københavns Storkreds","8. Valby",35933,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst27.htm","8. valby",28743,6645,4012,1278,3744,1419,85,2964,4338,4235,18636,0.64836655881432,NA
"9","Hovedstaden","Københavns Storkreds","9. Vesterbro",42339,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst28.htm","9. vesterbro",34829,6054,6719,1286,4880,1947,88,2116,3763,7940,25593,0.73481868557811,NA
"10","Hovedstaden","Københavns Storkreds","10. Falkoner",37786,"http://www.dst.dk/valg/Valg1487635/vaelgertal/vaelgertalOpst29.htm","10. falkoner",33299,5198,6792,3308,3462,2397,80,2022,5889,4139,19591,0.588335986065648,NA
