"","landsdel","storkreds","opstillingskreds","valgsted","pop"
"1","Hovedstaden","Københavns Storkreds","1. Østerbro","1. Nord",5697
"2","Hovedstaden","Københavns Storkreds","1. Østerbro","1. Nordvest",9512
"3","Hovedstaden","Københavns Storkreds","1. Østerbro","1. Syd",14178
"4","Hovedstaden","Københavns Storkreds","1. Østerbro","1. Vest",10808
"5","Hovedstaden","Københavns Storkreds","1. Østerbro","1. Østerbro",13452
"6","Hovedstaden","Københavns Storkreds","2. Sundbyvester","2. Nord",12502
"7","Hovedstaden","Københavns Storkreds","2. Sundbyvester","2. Sundbyvester",12825
"8","Hovedstaden","Københavns Storkreds","2. Sundbyvester","2. Syd",9229
"9","Hovedstaden","Københavns Storkreds","2. Sundbyvester","2. Vest",9927
"10","Hovedstaden","Københavns Storkreds","3. Indre By","3. Indre By",13969
"11","Hovedstaden","Københavns Storkreds","3. Indre By","3. Nord",6237
"12","Hovedstaden","Københavns Storkreds","3. Indre By","3. Syd",9109
"13","Hovedstaden","Københavns Storkreds","3. Indre By","3. Øst",11360
"14","Hovedstaden","Københavns Storkreds","4. Sundbyøster","4. Nord",14370
"15","Hovedstaden","Københavns Storkreds","4. Sundbyøster","4. Sundbyøster",8496
"16","Hovedstaden","Københavns Storkreds","4. Sundbyøster","4. Syd",8166
"17","Hovedstaden","Københavns Storkreds","4. Sundbyøster","4. Øst",8722
"18","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Midt",3268
"19","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Nord",13681
"20","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Nordvest",10012
"21","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Nørrebro",10228
"22","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Syd",5859
"23","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Vest",6962
"24","Hovedstaden","Københavns Storkreds","5. Nørrebro","5. Øst",5398
"25","Hovedstaden","Københavns Storkreds","6. Bispebjerg","6. Bispebjerg",15286
"26","Hovedstaden","Københavns Storkreds","6. Bispebjerg","6. Nord",7296
"27","Hovedstaden","Københavns Storkreds","6. Bispebjerg","6. Syd",9471
"28","Hovedstaden","Københavns Storkreds","6. Bispebjerg","6. Øst",4040
"29","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Brønshøj",3852
"30","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Katrinedal",4374
"31","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Kirkebjerg",5122
"32","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Nord",2271
"33","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Nordvest",8014
"34","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Syd",7104
"35","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Vanløse",10077
"36","Hovedstaden","Københavns Storkreds","7. Brønshøj","7. Vest",6041
